ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
Cbur00168_at	gatB	aspartyl/glutamyl-tRNA amidotransferase subunit B	2.429	2.044
Cbur00171_at	gatA	aspartyl/glutamyl-tRNA amidotransferase subunit A	2.791	2.566
Cbur00174_at	mreB	rod shape-determining protein MreB	1.694	1.821
Cbur00176_at	mreD	rod shape-determining protein	2.835	2.519
Cbur00179_at	tldD	protease TldD	1.709	1.845
Cbur00180_at			1.986	1.858
Cbur00181_at			2.556	2.618
Cbur00188_at			2.88	2.166
Cbur00194_at			2.705	1.932
Cbur00196_at			2.585	2.525
Cbur00199_at			2.871	2.46
Cbur00200_at			2.304	2.156
Cbur00202_at	tpiA	triosephosphate isomerase	3.083	2.543
Cbur00204_at	nuoA	NADH dehydrogenase subunit A	2.377	2.632
Cbur00205_at	nuoB	NADH dehydrogenase subunit B	2.631	2.863
Cbur00206_at	nuoC	NADH dehydrogenase subunit C	2.723	2.251
Cbur00210_at	nuoF	NADH dehydrogenase subunit F	4.195	2.825
Cbur00213_at	nuoH	NADH dehydrogenase subunit H	3.289	2.541
Cbur00214_at	nuoI	NADH dehydrogenase subunit I	2.013	2.115
Cbur00216_at	nuoK	NADH dehydrogenase subunit K	4.024	3.198
Cbur00222_at			3.118	3.047
Cbur00224_at	infB	translation initiation factor IF-2	2.528	2.307
Cbur00227_at	truB	tRNA pseudouridine synthase B	3.437	1.737
Cbur00229_at			2.377	1.909
Cbur00231_s_at			4.772	4.429
Cbur00232_at			2.12	2.101
Cbur00233_at	hemB	delta-aminolevulinic acid dehydratase	2.566	2.694
Cbur00235_at	radA	DNA repair protein RadA	2.917	2.616
Cbur00240_at			2.77	2.008
Cbur00243_at			3.428	2.81
Cbur00246_at			1.827	1.975
Cbur00247_at			1.939	2.136
Cbur00253_at			2.422	1.799
Cbur00257_at	sdhD	succinate dehydrogenase membrane anchor subunit	4.248	2.316
Cbur00262_at	sucA	2-oxoglutarate dehydrogenase E1	3.497	3.153
Cbur00264_at	sucB	dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl-transferring) complex	2.498	2.195
Cbur00265_at	sucC	succinyl-CoA synthetase subunit beta	2.526	1.689
Cbur00270_at			1.788	1.763
Cbur00273_at			1.99	1.68
Cbur00275_at			3.449	3.299
Cbur00279_at			2.656	2.072
Cbur00284_at	map	methionine aminopeptidase	3.758	2.335
Cbur00289_at	tsf	elongation factor Ts	3.691	2.281
Cbur00290_at	pyrH	uridylate kinase	2.289	2.307
Cbur00294_at	uppS	undecaprenyl pyrophosphate synthetase	1.881	1.789
Cbur00296_at			2.711	2.721
Cbur00300_at			3.988	1.688
Cbur00302_at			2.827	1.809
Cbur00306_at	pabB	para-aminobenzoate synthetase component I	3.555	3.186
Cbur00309_at			2.312	1.635
Cbur00310_at			3.713	2.374
Cbur00311_at			2.87	2.824
Cbur00312_at			2.789	1.931
Cbur00315_at			2.454	1.851
Cbur00319_at			3.333	2.318
Cbur00321_at			2.056	2.159
Cbur00324_at			2.551	2.43
Cbur00325_at	csdB	cysteine desulfurase	2.138	2.112
Cbur00326_at			2.509	2.217
Cbur00328_at			2.569	1.956
Cbur00331_at	ftsH	ATP-dependent metallopeptidase HflB	3.531	2.399
Cbur00335_at	glmM	phosphoglucosamine mutase	3.334	1.698
